species	FFD	seed	height	growthform
Senecio_vulgaris	179	-1.51412773262978	3.2188758248682	a
Antennaria_dioica	144	-2.99573227355399	2.52572864430826	h
Gnaphalium_sylvaticum	188	-3.47376807449699	3.48124008933569	h
Hieracium_umbellatum	211	-0.82098055206983	3.96081316959758	h
Hypochoeris_maculata	180	0.104360015324243	3.80666248977032	h
Leontodon_autumnalis	182	-0.356674943938732	3.2188758248682	h
Mycelis_muralis	189	-1.17118298150295	4.0943445622221	h
Serratula_tinctoria	200	0.989541193613748	4.17438726989564	h
Tragopogon_pratensis	171	2.41591377830105	4.00733318523247	h
Succisa_pratensis	220	0.29266961396282	3.74950407593037	h
Rhinanthus_minor	173	0.625938430866495	2.99573227355399	a
Veronica_arvensis	144	-2.57702193869581	2.70805020110221	a
Arenaria_serpyllifolia	155	-2.78062089393705	2.52572864430826	a
Cerastium_semidecandrum	138	-3.44201937618241	2.63905732961526	a
Linum_catharticum	177	-1.96611285637283	2.70805020110221	a
Campanula_persicifolia	185	-4.96184512992682	4.17438726989564	h
Campanula_rotundifolia	175	-3.03655426807425	3.40119738166216	h
Primula_veris	132	-0.116533816255952	2.99573227355399	h
Trientalis_europaea	153	-0.356674943938732	2.52572864430826	h
Gentianella_campestris	174	-1.77195684193188	2.99573227355399	h
Plantago_lanceolata	152	0.65232518603969	3.40119738166216	h
Plantago_media	151	-1.27296567581289	3.48124008933569	h
Veronica_chamaedrys	155	-1.66073120682165	2.99573227355399	h
Veronica_officinalis	176	-1.96611285637283	2.99573227355399	h
Cerastium_fontanum	161	-2.12026353620009	2.99573227355399	h
Dianthus_deltoides	189	-1.96611285637283	2.99573227355399	h
Silene_nutans	170	-1.04982212449868	3.48124008933569	h
Stellaria_graminea	171	-1.30933331998376	3.68887945411394	h
Stellaria_nemorum	144	-1.07880966137193	4.0517849478033	h
Allium_schoenoprasum	175	-0.3147107448397	2.99573227355399	h
Listera_ovata	172	-6.90775527898214	3.68887945411394	h
Hypericum_perforatum	193	-3.29683736633791	3.91202300542815	h
Helianthemum_nummularium	171	-0.0512932943875506	2.99573227355399	h
Sedum_album	206	-3.50655789731998	2.30258509299405	h
Sedum_sexangulare	189	-3.44201937618241	1.87180217690159	h
Saxifraga_granulata	142	-3.50655789731998	3.11351530921037	h
Calluna_vulgaris	211	-3.44201937618241	3.74950407593037	w
Anthriscus_sylvestris	147	1.04027671165515	4.60517018598809	h
Carum_carvi	154	0.810930216216329	3.74950407593037	h
Pimpinella_saxifraga	200	0.0676586484738149	3.68887945411394	h
Galium_verum	197	-0.415515443961666	3.55534806148941	h
Prunella_vulgaris	183	-0.49429632181478	2.70805020110221	h
Stachys_sylvatica	184	0.512823626428664	4.17438726989564	h
Thymus_serpyllum	179	-1.77195684193188	1.87180217690159	h
Geranium_robertianum	168	0.131028262406404	3.31418600467253	a
Geranium_sanguineum	171	2.21484617868604	3.48124008933569	h
Geranium_sylvaticum	157	2.21484617868604	3.8607297110406	h
Oxalis_acetosella	128	0.0953101798043249	2.01490302054226	h
Lapsana_communis	181	0.262364264467491	4.24849524204936	a
Achillea_millefolium	173	-2.04022082852655	3.80666248977032	h
Centaurea_jacea	197	0.0582689081239758	4.00733318523247	h
Leucanthemum_vulgare	170	-0.82098055206983	3.80666248977032	h
Ajuga_pyramidalis	153	0.314810739840034	2.70805020110221	h
Bistorta_vivipara	171	1.22082992139236	3.2188758248682	h
Carex_caryophyllea	132	-0.261364764134408	2.86220088092947	h
Carex_ovalis	160	-0.941608539858445	3.2188758248682	h
Anthoxanthum_odoratum	140	-1.23787435600162	3.2188758248682	h
Briza_media	182	-1.46967597005894	3.55534806148941	h
Dactylis_glomerata	177	-0.673344553263766	4.24849524204936	h
Deschampsia_cespitosa	187	-1.20397280432594	4.24849524204936	h
Festuca_ovina	176	-2.04022082852655	3.31418600467253	h
Melica_nutans	156	0.8754687373539	3.80666248977032	h
Milium_effusum	166	0.182321556793955	4.65396035015752	h
Poa_nemoralis	182	-1.56064774826467	4.17438726989564	h
Poa_pratensis	174	-1.38629436111989	3.91202300542815	h
Anemone_nemorosa	119	1.34025042261848	2.94443897916644	h
Ranunculus_acris	156	0.322083499169113	3.80666248977032	h
Ranunculus_repens	163	0.470003629245736	3.40119738166216	h
Rumex_acetosa	161	-0.653926467406664	4.0943445622221	h
Potentilla_erecta	162	-1.13943428318836	3.40119738166216	h
Filipendula_ulmaria	183	-1.20397280432594	4.60517018598809	h
Filipendula_vulgaris	176	-0.653926467406664	3.55534806148941	h
Potentilla_argentea	172	-2.61729583783375	3.2188758248682	h
Urtica_dioica	181	-1.89711998488588	4.74493212836325	h
Trifolium_arvense	184	-0.967584026261706	2.86220088092947	a
Lathyrus_pratensis	176	2.31451366385932	4.0943445622221	h
Lotus_corniculatus	163	0.27763173659828	3.2188758248682	h
Trifolium_pratense	170	0.482426149244293	3.62434093297637	h
Trifolium_repens	171	-1.46967597005894	2.99573227355399	h
Vicia_sepium	156	2.81540871942271	3.80666248977032	h
Anthyllis_vulneraria	168	1.19694818938897	3.48124008933569	h
Lathyrus_vernus	141	2.72785282839839	3.40119738166216	h
Vicia_sylvatica	178	2.80457176809283	4.8283137373023	h
Arabidopsis_thaliana	113	-3.57555076880693	2.86220088092947	a
Erophila_verna	112	-3.68887945411394	2.07944154167984	a
Arabis_hirsuta	152	-2.3538783873816	3.55534806148941	h
Agrimonia_eupatoria	183	1.28370777234479	4.31748811353631	h
Geum_rivale	150	0.29266961396282	3.55534806148941	h
Solanum_dulcamara	182	0.262364264467491	4.70048036579242	h
Convallaria_majalis	155	2.91126311692754	2.86220088092947	h
Maianthemum_bifolium	163	2.29958058397375	2.52572864430826	h
Polygonatum_multiflorum	156	3.35340671782581	4.00733318523247	h
Polygonatum_odoratum	156	3.25809653802148	3.31418600467253	h
Paris_quadrifolia	150	1.76473079684014	3.11351530921037	h
Actaea_spicata	151	1.93296963777958	3.91202300542815	h
Lonicera_xylosteum	155	1.64865862558738	5.16478597392351	w
Viburnum_opulus	174	3.41772668361337	5.52146091786225	w
Empetrum_nigrum	112	-0.22314355131421	2.99573227355399	w
Vaccinium_myrtillus	143	-1.13943428318836	3.40119738166216	w
Vaccinium_oxycoccos	164	-0.693147180559945	1.79175946922805	w
Vaccinium_uliginosum	150	-1.20397280432594	3.68887945411394	w
Vaccinium_vitis_idaea	162	-1.20397280432594	2.86220088092947	w
Berberis_vulgaris	163	2.29253475714054	5.01063529409626	w
Sorbus_aucuparia	167	1.25276296849537	6.80239476332431	w
Sorbus_intermedia	171	4.24706564923976	7.0475172213573	w
Ribes_alpinum	137	1.56861591791385	4.8283137373023	w
Chelidonium_majus	149	-0.27443684570176	4.00733318523247	h
Polygala_amarella	144	-0.210721031315653	2.30258509299405	h
Polygala_vulgaris	155	0.672944473242426	2.86220088092947	h
Viola_canina	142	-0.105360515657826	2.52572864430826	h
Sambucus_racemosa	143	1.09861228866811	5.52146091786225	w
Frangula_alnus	171	2.88480071284671	5.99146454710798	w
Cotoneaster_integerrimus	132	2.24070968927596	4.8283137373023	w
Crataegus_monogyna	159	4.57264699428253	5.85793315448346	w
Prunus_spinosa	145	5.02256386496153	5.52146091786225	w
Prunus_cerasus	149	5.17897060891547	6.10924758276437	w
Prunus_padus	147	4.38825718442452	6.74523634948436	w
Myosotis_ramosissima	133	-0.967584026261706	2.52572864430826	a
Sanicula_europaea	152	1.09861228866811	3.68887945411394	h
Myosotis_arvensis	160	-0.776528789498996	3.2188758248682	h
Knautia_arvensis	179	0.904218150639886	4.00733318523247	h
Danthonia_decumbens	196	0.262364264467491	3.2188758248682	h
Hepatica_nobilis	103	1.30291275218084	2.30258509299405	h
Fragaria_vesca	146	-1.04982212449868	2.52572864430826	h
Rubus_idaeus	166	0.587786664902119	4.8283137373023	w
Rubus_saxatilis	159	2.35327820730956	3.11351530921037	w
